error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
make,VERB,do,make cpr,do cpr,1,1073,cpr,misc-ap-0,140,74,4016,0,3
make,VERB,do,make blog,do blog,2,1073,blog,misc-ap-0,140,74,4016,0,0
make,VERB,do,make skydive,do skydive,1,1073,skydive,misc-ap-0,140,74,4016,0,0
make,VERB,do,make pumpkin,do pumpkin,1,1073,pumpkin,misc-ap-0,140,74,4016,0,0
make,VERB,do,make cleaning,do cleaning,2,1073,cleaning,misc-ap-0,140,74,4016,0,12
make,VERB,do,make homework,do homework,19,1073,homework,misc-ap-0,140,74,4016,0,229
make,VERB,do,make sunray,do sunray,1,1073,sunray,misc-ap-0,140,74,4016,0,0
make,VERB,do,make pruning,do pruning,1,1073,pruning,misc-ap-0,140,74,4016,0,5
make,VERB,do,make students'evaluation,do students'evaluation,1,1073,students'evaluation,misc-ap-0,140,74,4016,0,0
make,VERB,do,make hawker,do hawker,2,1073,hawker,misc-ap-0,140,74,4016,0,0
make,VERB,do,make lise,do lise,1,1073,lise,misc-ap-0,140,74,4016,0,0
make,VERB,do,make camerawork,do camerawork,1,1073,camerawork,misc-ap-0,140,74,4016,0,0
make,VERB,do,make massage,do massage,2,1073,massage,misc-ap-0,140,74,4016,0,0
make,VERB,do,make teacher,do teacher,4,1073,teacher,misc-ap-0,140,74,4016,1,6
make,VERB,do,make game,do game,10,1073,game,misc-ap-0,140,74,4016,1,47
make,VERB,do,make writing,do writing,3,1073,writing,misc-ap-0,140,74,4016,0,25
make,VERB,do,make favor,do favor,1,1073,favor,misc-ap-0,140,74,4016,0,63
make,VERB,do,make classmate,do classmate,1,1073,classmate,misc-ap-0,140,74,4016,0,0
make,VERB,do,make beginner,do beginner,1,1073,beginner,misc-ap-0,140,74,4016,0,0
make,VERB,do,make update,do update,1,1073,update,misc-ap-0,140,74,4016,0,0
make,VERB,do,make freehand,do freehand,1,1073,freehand,misc-ap-0,140,74,4016,0,0
make,VERB,do,make roleplay,do roleplay,1,1073,roleplay,misc-ap-0,140,74,4016,0,0
make,VERB,do,make quilting,do quilting,1,1073,quilting,misc-ap-0,140,74,4016,0,1
make,VERB,do,make face,do face,3,1073,face,misc-ap-0,140,74,4016,0,13
make,VERB,do,make diorama,do diorama,1,1073,diorama,misc-ap-0,140,74,4016,0,0
make,VERB,do,make origami,do origami,1,1073,origami,misc-ap-0,140,74,4016,0,0
make,VERB,do,make pairing,do pairing,1,1073,pairing,misc-ap-0,140,74,4016,0,0
make,VERB,do,make seminar,do seminar,1,1073,seminar,misc-ap-0,140,74,4016,0,3
make,VERB,do,make hairstyle,do hairstyle,3,1073,hairstyle,misc-ap-0,140,74,4016,0,0
make,VERB,do,make refurbishment,do refurbishment,1,1073,refurbishment,misc-ap-0,140,74,4016,0,0
make,VERB,do,make cosplay,do cosplay,1,1073,cosplay,misc-ap-0,140,74,4016,0,0
make,VERB,do,make pr'is,do pr'is,1,1073,pr'is,misc-ap-0,140,74,4016,0,0
make,VERB,do,make bit,do bit,1,1073,bit,Objects Generally,58,6,4016,25,73
make,VERB,do,make thing,do thing,52,1073,thing,Objects Generally,58,6,4016,1,5340
make,VERB,do,make activity,do activity,4,1073,activity,Doing Things,40,4,4016,0,42
make,VERB,do,make work,do work,34,1073,work,Doing Things,40,4,4016,3,2367
make,VERB,do,make science,do science,1,1073,science,Science and Technology,30,5,4016,0,13
make,VERB,do,make test,do test,10,1073,test,Science and Technology,30,5,4016,77,187
make,VERB,do,make experiment,do experiment,17,1073,experiment,Science and Technology,30,5,4016,0,50
make,VERB,do,make job,do job,19,1073,job,"Business, Work, and Employment",57,3,4016,170,3471
make,VERB,do,make biography,do biography,1,1073,biography,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,0,7
make,VERB,do,make manuscript,do manuscript,1,1073,manuscript,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,0,0
make,VERB,do,make essay,do essay,2,1073,essay,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,0,0
make,VERB,do,make diary,do diary,3,1073,diary,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,0,0
make,VERB,do,make composition,do composition,2,1073,composition,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,0,0
make,VERB,do,make reading,do reading,1,1073,reading,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,1,21
make,VERB,do,make label,do label,1,1073,label,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,0,6
make,VERB,do,make book,do book,2,1073,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,1,57
make,VERB,do,make crack,do crack,1,1073,crack,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,1,5
make,VERB,do,make paper,do paper,4,1073,paper,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,1,13
make,VERB,do,make lot,do lot,21,1073,lot,"Fullness, Heaviness, Thickness, Stiffness, Roughness, etc",25,4,4016,565,970
make,VERB,do,make hard,do hard,1,1073,hard,"Fullness, Heaviness, Thickness, Stiffness, Roughness, etc",25,4,4016,0,0
make,VERB,do,make research,do research,10,1073,research,"Showing, Hiding, Finding, Saving, and Similar Words",36,9,4016,18,462
make,VERB,do,make examination,do examination,6,1073,examination,"Showing, Hiding, Finding, Saving, and Similar Words",36,9,4016,0,0
make,VERB,do,make grammar,do grammar,1,1073,grammar,Language,19,4,4016,0,0
make,VERB,do,make translation,do translation,7,1073,translation,Language,19,4,4016,2,9
make,VERB,do,make business,do business,10,1073,business,Language,19,4,4016,1,1597
make,VERB,do,make good,do good,5,1073,good,Knowing and Learning,18,4,4016,1,16
make,VERB,do,make study,do study,9,1073,study,Knowing and Learning,18,4,4016,1,375
make,VERB,do,make exercise,do exercise,16,1073,exercise,Sports and Games Generally,17,2,4016,1,31
make,VERB,do,make people,do people,4,1073,people,People,19,11,4016,1,2
make,VERB,do,make father,do father,2,1073,father,People,19,11,4016,17,19
make,VERB,do,make human,do human,1,1073,human,People,19,11,4016,2,2
make,VERB,do,make son,do son,3,1073,son,People,19,11,4016,0,11
make,VERB,do,make mother,do mother,1,1073,mother,People,19,11,4016,16,21
make,VERB,do,make member,do member,1,1073,member,People,19,11,4016,31,34
make,VERB,do,make painting,do painting,2,1073,painting,Arts and Crafts,16,5,4016,14,48
make,VERB,do,make art,do art,7,1073,art,Arts and Crafts,16,5,4016,0,0
make,VERB,do,make puzzle,do puzzle,5,1073,puzzle,Indoor Games,16,7,4016,0,12
make,VERB,do,make count,do count,1,1073,count,Indoor Games,16,7,4016,0,30
make,VERB,do,make man,do man,3,1073,man,Indoor Games,16,7,4016,1,41
make,VERB,do,make combination,do combination,2,1073,combination,"Cutting, Joining, Breaking, and Destroying",10,5,4016,0,0
make,VERB,do,make damage,do damage,5,1073,damage,"Cutting, Joining, Breaking, and Destroying",10,5,4016,0,672
make,VERB,do,make program,do program,2,1073,program,Communication and Information,12,7,4016,2,73
make,VERB,do,make picture,do picture,2,1073,picture,Communication and Information,12,7,4016,1,18
make,VERB,do,make mail,do mail,1,1073,mail,Communication and Information,12,7,4016,0,0
make,VERB,do,make daily,do daily,1,1073,daily,Communication and Information,12,7,4016,0,3
make,VERB,do,make shopping,do shopping,6,1073,shopping,Shopping and General Expenses,7,2,4016,0,80
make,VERB,do,make miracle,do miracle,4,1073,miracle,"Relaxation, Excitement, Interest, and Surprise",10,3,4016,0,0
make,VERB,do,make hobby,do hobby,5,1073,hobby,Entertainment Generally,12,3,4016,0,0
make,VERB,do,make courtesy,do courtesy,1,1073,courtesy,Social Classification and Situation,15,5,4016,0,0
make,VERB,do,make service,do service,4,1073,service,Social Classification and Situation,15,5,4016,78,79
make,VERB,do,make quotation,do quotation,1,1073,quotation,"Communicating, mainly by Speaking and Talking",7,7,4016,0,0
make,VERB,do,make dictation,do dictation,1,1073,dictation,"Communicating, mainly by Speaking and Talking",7,7,4016,0,0
make,VERB,do,make speech,do speech,1,1073,speech,"Communicating, mainly by Speaking and Talking",7,7,4016,2,11
make,VERB,do,make observation,do observation,1,1073,observation,"Communicating, mainly by Speaking and Talking",7,7,4016,1,2
make,VERB,do,make money,do money,1,1073,money,Money,8,4,4016,15,72
make,VERB,do,make exchange,do exchange,3,1073,exchange,Money,8,4,4016,0,12
make,VERB,do,make dance,do dance,3,1073,dance,Music and Related Activities,7,4,4016,22,41
make,VERB,do,make group,do group,1,1073,group,Music and Related Activities,7,4,4016,2,59
make,VERB,do,make product,do product,1,1073,product,Making things,14,8,4016,1,28
make,VERB,do,make repair,do repair,1,1073,repair,Making things,14,8,4016,2,46
make,VERB,do,make sort,do sort,1,1073,sort,Making things,14,8,4016,47,80
make,VERB,do,make use,do use,1,1073,use,Making things,14,8,4016,5,44
make,VERB,do,make course,do course,3,1073,course,Geography,4,2,4016,28,40
make,VERB,do,make trick,do trick,3,1073,trick,"The Police, Security Services, Crime, and Criminals",5,2,4016,0,111
make,VERB,do,make kind,do kind,3,1073,kind,"Being, Becoming, and Happening",14,6,4016,260,267
make,VERB,do,make interview,do interview,2,1073,interview,Travel and Visiting,10,5,4016,11,80
make,VERB,do,make hair,do hair,2,1073,hair,Parts of Animals,2,1,4016,1,39
make,VERB,do,make government,do government,2,1073,government,Government,2,1,4016,1,79
make,VERB,do,make colleague,do colleague,2,1073,colleague,Friendship and Enmity,6,3,4016,0,5
make,VERB,do,make hero,do hero,1,1073,hero,Fear and Courage,2,2,4016,1,4
make,VERB,do,make fear,do fear,1,1073,fear,Fear and Courage,2,2,4016,0,14
make,VERB,do,make routine,do routine,1,1073,routine,"Drama, the Theatre, and Show Business",4,4,4016,0,31
make,VERB,do,make rehearsal,do rehearsal,1,1073,rehearsal,"Drama, the Theatre, and Show Business",4,4,4016,0,0
make,VERB,do,make nail,do nail,2,1073,nail,Tools,3,2,4016,0,8
make,VERB,do,make color,do color,1,1073,color,"The Skin, the Complexion, and the Hair",2,2,4016,6,9
